date,beta,book_to_price,comovement,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,交运设备,交通运输,休闲服务,传媒,信息服务,信息设备,公用事业,农林牧渔,化工,医药生物,商业贸易,国防军工,家用电器,建筑建材,建筑材料,建筑装饰,房地产,有色金属,机械设备,汽车,电子,电气设备,纺织服装,综合,计算机,轻工制造,通信,采掘,金融服务,钢铁,银行,非银金融,食品饮料,餐饮旅游,黑色金属
2008/3/24,-0.003129443,0.009154577,-0.045324614,-0.012054759,0.000327828,-0.00316187,0.000832464,0.000243694,-0.000376557,-0.001395194,-0.005764996,-0.005802768,0.004213588,,,0.006525154,0.01710739,0.017642406,0.007896973,0.006219283,0.007441349,0.005721443,,0.006628216,0.009340896,,,-0.000203255,-0.014536853,0.007101932,,0.006519344,,0.016630051,0.009109789,,0.007342621,,-0.001438702,-0.007710252,,,,0.006988746,0.0122102,-0.007610503
2008/3/25,0.004147012,0.002039443,0.005498388,-0.007139122,-6.79E-05,0.003511269,0.002182207,-0.002511159,-0.005540163,-0.000346817,0.002105217,-0.001736881,0.018355858,,,0.00069986,0.005749176,0.001763087,0.002086541,-0.004059363,0.001008361,0.007882649,,0.015941171,0.000608377,,,0.024383829,-0.006059598,0.000337472,,0.002687352,,0.005668847,0.00507482,,-0.001824189,,-0.014180775,-0.000807764,,,,-0.000389897,0.016657798,0.016068374
2008/3/26,-0.002489558,-0.000975911,0.004865613,0.010488842,-5.24E-05,0.001298257,0.001758819,0.001868023,-0.001285716,-0.000746231,-0.000207771,-0.004189997,-0.009928391,,,-0.001760765,-0.006869898,-0.003034626,-0.01751021,-0.005674835,-0.007884137,-0.006955155,,-0.008997073,-0.009952361,,,-0.012364024,0.008510896,0.002138782,,0.002211691,,-0.005363698,-0.012522869,,-0.006688297,,0.014714545,0.001931036,,,,-0.010210853,-0.015237372,-0.009613939
2008/3/27,-0.017302442,-0.008965647,-0.030719417,0.011737437,0.002133507,0.003432264,0.004608246,0.000261443,0.001245645,-0.008359147,0.003017992,6.37E-05,-0.001832772,,,-0.002253112,-0.019022983,-0.014102589,0.032945068,-0.005772325,-0.006473305,-0.000946189,,-0.006129371,-0.003711606,,,0.033726354,-0.011228241,-0.003873331,,-0.006356953,,-0.008137438,-0.010792333,,-0.000871302,,0.001109754,0.005212369,,,,-0.004751795,0.009267333,-0.014737315
2008/3/28,0.010048192,-0.002253706,0.038667598,0.005125541,0.000289228,0.000281082,0.000609495,-0.004737693,-0.001775812,0.004231677,0.004830079,-0.006414631,-0.005870094,,,-0.011092305,-0.00863559,-0.010638962,-0.02618091,-0.011504839,-0.004428272,0.000905396,,0.001138951,-0.00450517,,,0.008772921,-0.010744977,-0.008283899,,-0.013417033,,-0.001721427,-0.004960226,,-0.004065543,,-0.002211606,0.018073264,,,,-0.012121477,-0.008968412,-0.013209077
2008/3/31,-0.004257707,-0.004916558,-0.023770718,0.007340779,0.000288264,0.001288386,-0.00127095,-0.003049866,-0.001166647,-0.005352669,0.005470031,-0.01110316,-0.003258417,,,-0.001900405,0.008439779,-0.010568093,0.000214154,0.00237586,0.000153428,0.0013393,,-0.00696507,0.002846964,,,0.005941584,-0.008855003,-0.00561252,,0.000146737,,-0.002082927,-0.004149846,,0.000146801,,0.006863151,0.001318595,,,,0.000684405,0.005076773,-0.014554896
2008/4/1,-0.006199817,0.003332788,-0.035356216,-0.004713398,-0.000437842,0.001214581,-0.000576626,0.002337393,-0.008340667,-0.003177739,0.012902933,-0.011155161,-0.0007406,,,-0.018724118,-0.016843002,-0.018939773,-0.02132299,-0.011714191,-0.007749502,-0.003601709,,-0.022235804,-0.009437102,,,-0.015204501,-0.021133121,-0.013442933,,-0.013826938,,-0.006258418,-0.007835559,,-0.00451129,,0.014250601,0.016098583,,,,-0.010925298,-0.019416624,-0.024386776
2008/4/2,-0.006209466,0.000315525,0.014198045,0.004790867,0.001196646,0.003039874,-0.002896259,0.000215241,-0.007791213,-0.004850797,0.01871955,-0.002265641,-0.002434833,,,-0.017662771,-0.018989277,-0.007117812,-0.020507169,-0.01365199,-0.002094126,-0.009512342,,0.00109832,-0.008283725,,,-0.008484968,-0.02163545,-0.010610907,,-0.004607239,,-0.008416446,-0.010580935,,0.004353203,,-0.012452016,0.026336528,,,,-0.016711336,-0.01052889,-0.000128699
2008/4/3,0.003515878,0.001351195,0.031272787,0.009942018,0.001457089,0.000542958,-0.000655687,-0.001441042,-0.002175272,0.0032774,0.002823356,0.004660393,0.003208743,,,-0.005180315,0.006461909,0.004219196,0.01727316,0.0007336,0.004364802,-0.001282616,,0.009542421,0.006556981,,,-0.024591941,0.025139076,0.002764455,,0.007698221,,0.004554232,-0.003828079,,0.008570827,,0.005702891,-0.009971686,,,,0.002579269,-0.005159711,0.0150307
2008/4/7,0.006506089,-0.003466055,0.038623323,0.011690531,0.000682234,0.001282705,0.001351141,-0.000562057,0.009417153,0.007855925,-0.005847943,0.014729512,0.004406985,,,0.001576944,0.004676967,0.001100243,0.005972262,0.00822506,0.009724172,-3.82E-05,,0.002111116,0.003754825,,,-0.00227372,0.019695783,0.010241806,,0.004053836,,0.003141344,-0.002003213,,0.006483462,,-0.002868948,-0.008384732,,,,0.014724967,-0.001903699,-0.00161941
